Capitale de la France ; Paris
Inventeur de la première ampoule électrique pratique ; Thomas Edison
Quelle est la langue officielle du Brésil ? ; Le portugais
Peintre néerlandais de "La Nuit étoilée" ; Vincent van Gogh
Quel est le plus grand océan du monde en termes de profondeur moyenne ? ; Océan Pacifique
Inventeur du téléphone ; Alexander Graham Bell
Quel est le plus grand désert chaud du monde ? ; Sahara
Quelle est la première lettre du mot "alphabet" ? ; A
Quel est le plus grand océan du monde en termes de longueur ? ; Océan Atlantique
Qui a écrit "Le Rouge et le Noir" ? ; Stendhal
Quel est le plus grand désert froid du monde ? ; Antarctique
Combien de continents y a-t-il sur Terre ? ; Sept
Quel est le plus grand océan du monde en termes de largeur ? ; Océan Atlantique
Quelle est la capitale de l'Argentine ? ; Buenos Aires
Auteur de la pièce de théâtre "Hamlet" ; William Shakespeare
Quelle est la plus grande chaîne de montagnes au monde ? ; Himalaya
Combien de côtés a un pentagone ? ; Cinq
Quel est le plus grand désert du monde en termes de superficie ? ; Antarctique
Quel est le plus grand océan du monde en termes de profondeur ? ; Océan Pacifique
Inventeur du World Wide Web ; Tim Berners-Lee
Quelle est la monnaie utilisée au Mexique ? ; Peso
Qui a écrit "Le Comte de Monte-Cristo" ? ; Alexandre Dumas
Quelle est la capitale de l'Afrique du Sud ? ; Pretoria
Qui a peint "Les Tournesols" ? ; Vincent van Gogh
Quel est le plus grand mammifère marin ? ; La baleine bleue
Auteur de la série de romans "Harry Potter" ; J.K. Rowling
Quelle est la plus grande île d'Afrique ? ; Madagascar
Quel est le plus grand désert chaud du monde ? ; Sahara
Créateur du tube "Nuit de folie" ; Debut de Soirée
Chanteur de "C'est ma vie" ; Salvatore Adamo
Interprète de "Formidable" ; Stromae
Groupe de rock français avec "Un Monde parfait" ; Ilona Mitrecey
Chanteuse avec "La grenade" ; Clara Luciani
Groupe de pop-rock français avec "Marcia Baila" ; Les Rita Mitsouko
Chanteuse avec "Moi... Lolita" ; Alizée
Chanteur avec "Je te donne" ; Jean-Jacques Goldman
Chanteur et acteur populaire ; Salvatore Adamo
Artiste avec "L'Aziza" ; Daniel Balavoine
Chanteur avec "On va s'aimer" ; Gilbert Montagné
Groupe avec "Ça, c'est vraiment toi" ; Téléphone
Chanteuse avec "Joe le taxi" ; Vanessa Paradis
Groupe de rock avec "Je danse le Mia" ; IAM
Chanteur avec "C'est une belle journée" ; Mylène Farmer
Chanteuse avec "Christine" ; Christine and the Queens
Artiste avec "Elle me dit" ; Mika
Chanteur avec "Nuit de folie" ; Debut de Soiree
Chanteur avec "Tandem" ; Vanessa Paradis
Chanteur avec "Les yeux de la Mama" ; Kendji Girac
Groupe de rock français populaire ; Les Rita Mitsouko
Chanteur avec "Envole-moi" ; Jean-Jacques Goldman
Chanteur avec "Je m'voyais déjà" ; Charles Aznavour
Artiste avec "Osez Joséphine" ; Alain Bashung
Chanteuse avec "Balance ton quoi" ; Angèle
Chanteur avec "Ella, elle l'a" ; France Gall
Artiste avec "Pour que tu m'aimes encore" ; Céline Dion
Chanteur avec "Un, dos, tres, Maria" ; Ricky Martin
Chanteur avec "Ma préférence" ; Julien Clerc
Groupe de musique électronique français avec "Oxygène" ; Air
Chanteur avec "Savoir aimer" ; Florent Pagny
Chanteuse avec "Pourvu qu'elles soient douces" ; Mylène Farmer
Groupe de pop français avec "L'Amour à la plage" ; Niagara
Chanteur avec "Caroline" ; MC Solaar
Chanteur avec "Les Lacs du Connemara" ; Michel Sardou
Artiste avec "La tribu de Dana" ; Manau
Chanteuse avec "Zouk la sé sèl médikaman nou ni" ; Kassav'
Groupe de rap français avec "Mentalité pirate" ; IAM
Chanteur avec "Ma gueule" ; Johnny Hallyday
Groupe de pop-rock français avec "Jeune et con" ; Saez
Chanteur avec "Quand la musique est bonne" ; Jean-Jacques Goldman
Chanteur avec "Tous les mêmes" ; Stromae
Chanteur avec "La Boîte de Jazz" ; Michel Jonasz
Groupe de pop français avec "Sacrifice" ; Pascal Obispo
Créateur de la théorie de la relativité ; Albert Einstein
Premier empereur de Chine ; Qin Shi Huang
Reine d'Égypte, dernière pharaonne ; Cléopâtre
Empereur romain célèbre pour sa folie ; Néron
Navigateur espagnol, premier à atteindre l'Amérique en 1492 ; Christophe Colomb
Philosophe allemand, auteur de "Le Capital" ; Karl Marx
Robot emblématique de l'univers Star Wars, protocole et interprète fluide ; C-3PO
Super-héros Marvel, milliardaire et inventeur de génie en armure ; Iron Man
Animal de compagnie jaune de la série Pokémon, évolue en Raichu ; Pikachu
Héroïne de la série Tomb Raider, archéologue aventurière ; Lara Croft
Personnage principal de la série God of War, guerrier spartiate ; Kratos
Personnage emblématique de la franchise Sonic, hérisson bleu rapide ; Sonic
